project name,pattern,spotbugs path,spotbugs lineno,rbugs path,rbugs lineno
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,388,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,389
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCPMain.java,378,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCPMain.java,379
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/CeCalculatorEnhanced.java,2041,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/CeCalculatorEnhanced.java,2041
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,528,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,528
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,590,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,590
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,585,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/ce/OptimalCECPMain.java,585
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/fatcat/calc/AFPCalculator.java,292,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/fatcat/calc/AFPCalculator.java,292
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/fatcat/calc/AFPChainer.java,533,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/fatcat/calc/AFPChainer.java,533
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/fatcat/calc/AFPChainer.java,522,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/fatcat/calc/AFPChainer.java,522
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/fatcat/calc/FCAlignHelper.java,258,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/fatcat/calc/FCAlignHelper.java,258
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/fatcat/calc/FCAlignHelper.java,254,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/fatcat/calc/FCAlignHelper.java,254
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/model/AFPChain.java,234,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/model/AFPChain.java,234
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/model/AFPChain.java,449,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/model/AFPChain.java,449
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/multiple/util/MultipleAlignmentWriter.java,346,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/multiple/util/MultipleAlignmentWriter.java,346
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/util/AlignmentTools.java,1162,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/util/AlignmentTools.java,1162
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/util/AlignmentTools.java,1172,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/util/AlignmentTools.java,1172
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/util/AlignmentTools.java,1188,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/util/AlignmentTools.java,1188
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/util/CliTools.java,162,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/util/CliTools.java,162
